Player,Club,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist
Iván Cuéllar,Leganes,ESP,GK,34.0,35.9,,,,,,,,,
Dimitris Siovas,Leganes,GRE,DF,29.0,35.9,,,,,,,,,
Jonathan Silva,Leganes,ARG,"DF,FW",24.0,31.7,,,,,,,,,
Kenneth Omeruo,Leganes,NGA,DF,24.0,30.0,,,,,,,,,
Rubén Pérez,Leganes,ESP,MF,29.0,28.5,,,,,,,,,
Óscar Rodríguez Arnaiz,Leganes,ESP,MF,20.0,28.1,,,,,,,,,
Unai Bustinza,Leganes,ESP,DF,26.0,25.2,,,,,,,,,
Youssef En-Nesyri,Leganes,MAR,FW,21.0,24.7,,,,,,,,,
Mikel Vesga,Leganes,ESP,MF,25.0,24.2,,,,,,,,,
Guido Carrillo,Leganes,ARG,FW,27.0,22.3,,,,,,,,,
Allan Nyom,Leganes,CMR,"DF,FW",30.0,20.0,,,,,,,,,
Juanfran,Leganes,ESP,"DF,FW",29.0,19.1,,,,,,,,,
Rodrigo Tarín,Leganes,ESP,DF,22.0,17.9,,,,,,,,,
Martin Braithwaite,Leganes,DEN,FW,27.0,17.6,,,,,,,,,
Gerard Gumbau,Leganes,ESP,MF,23.0,16.5,,,,,,,,,
Recio,Leganes,ESP,MF,27.0,16.3,,,,,,,,,
Nabil El Zhar,Leganes,MAR,"MF,FW",31.0,13.2,,,,,,,,,
Javier Eraso,Leganes,ESP,"MF,FW",28.0,10.0,,,,,,,,,
Michael Santos,Leganes,URU,"FW,MF",25.0,6.2,,,,,,,,,
Vasyl Kravets,Leganes,UKR,"DF,FW",20.0,6.2,,,,,,,,,
Sabin Merino,Leganes,ESP,"FW,MF",26.0,6.2,,,,,,,,,
Andriy Lunin,Leganes,UKR,GK,19.0,6.1,,,,,,,,,
Raúl García,Leganes,ESP,DF,29.0,5.2,,,,,,,,,
Diego Rolán,Leganes,URU,"MF,FW",25.0,4.1,,,,,,,,,
Diego Reyes,Leganes,MEX,DF,25.0,3.6,,,,,,,,,
Ezequiel Muñoz,Leganes,ARG,DF,27.0,2.3,,,,,,,,,
Dani Ojeda,Leganes,ESP,"MF,DF",23.0,2.1,,,,,,,,,
José Arnaiz,Leganes,ESP,"MF,FW",23.0,1.7,,,,,,,,,
Andrés Fernández,Villarreal,ESP,GK,31.0,12.0,,,,,,,,,
Víctor Ruiz,Villarreal,ESP,DF,29.0,10.0,,,,,,,,,
Pablo Fornals,Villarreal,ESP,"MF,FW",22.0,9.7,,,,,,,,,
