Player,Club,Nation,Pos,Age,Minutes,Fouls,Interceptions,Clearances,Errors,Blocked passes and shots,Tackles in defensive 1/3,Tackles in middle 1/3,Tackles in attacking 1/3,Progressive Carrying Distance,Assists,Red cards,Yellow cards,% of tackles won
Mattia De Sciglio,Juventus,ITA,DF,25,1743,56.38297872340425,52.12765957446809,36.43617021276596,60.77127659574468,20.611702127659576,59.840425531914896,72.73936170212765,74.33510638297872,59.97340425531915,63.56382978723404,0.0,21.143617021276594,54.78723404255319
Daniele Rugani,Juventus,ITA,DF,24,1350,94.0159574468085,38.82978723404255,55.98404255319149,89.22872340425532,80.45212765957447,2.2606382978723407,14.361702127659576,0.0,55.319148936170215,0.0,0.0,52.3936170212766,24.601063829787233
Martín Cáceres,Juventus,URU,DF,31,628,23.404255319148938,1.4627659574468086,7.845744680851063,0.0,15.292553191489361,22.872340425531913,0.0,60.50531914893617,76.72872340425532,0.0,0.0,35.1063829787234,1.5957446808510638
Leonardo Spinazzola,Juventus,ITA,DF,25,601,2.5265957446808507,0.39893617021276595,0.5319148936170213,0.0,17.68617021276596,7.9787234042553195,18.617021276595743,98.5372340425532,97.3404255319149,89.36170212765957,0.0,0.0,5.053191489361701
Medhi Benatia,Juventus,MAR,DF,31,450,97.73936170212765,98.67021276595744,53.191489361702125,0.0,93.75,81.64893617021278,8.51063829787234,0.0,66.0904255319149,0.0,0.0,92.02127659574468,94.41489361702128
Kalidou Koulibaly,Napoli,SEN,DF,27,3132,85.50531914893617,51.59574468085106,83.24468085106383,0.0,98.13829787234043,73.13829787234043,72.87234042553192,35.90425531914894,98.00531914893617,66.0904255319149,81.38297872340425,76.99468085106383,52.3936170212766
Elseid Hysaj,Napoli,ALB,DF,24,2107,56.25,38.16489361702128,20.74468085106383,0.0,3.0585106382978724,53.32446808510638,75.0,57.31382978723404,93.35106382978722,74.20212765957447,0.0,44.41489361702128,61.702127659574465
Kévin Malcuit,Napoli,MAR,DF,27,1805,52.52659574468085,81.64893617021278,38.96276595744681,0.0,22.872340425531913,53.45744680851063,71.1436170212766,91.22340425531915,83.11170212765957,79.52127659574468,0.0,37.101063829787236,68.21808510638297
Raúl Albiol,Napoli,ESP,DF,32,1713,12.76595744680851,39.09574468085106,91.62234042553192,61.303191489361694,53.98936170212766,12.632978723404257,13.563829787234042,0.0,76.86170212765957,0.0,0.0,56.64893617021277,5.053191489361701
Mário Rui,Napoli,POR,DF,27,1417,76.06382978723404,75.93085106382979,66.62234042553192,88.56382978723404,92.02127659574468,37.234042553191486,94.81382978723404,88.29787234042553,98.8031914893617,68.21808510638297,93.4840425531915,82.57978723404256,87.10106382978722
Nikola Maksimović,Napoli,SRB,DF,26,1375,66.22340425531915,83.24468085106383,90.29255319148936,89.09574468085107,67.5531914893617,67.15425531914893,53.058510638297875,0.0,94.68085106382979,0.0,0.0,72.07446808510637,72.47340425531915
Faouzi Ghoulam,Napoli,ALG,DF,27,1154,62.63297872340425,5.851063829787234,1.4627659574468086,0.0,4.521276595744681,2.925531914893617,28.590425531914892,43.484042553191486,91.0904255319149,95.74468085106383,0.0,39.76063829787234,89.76063829787235
Sebastiano Luperto,Napoli,ITA,DF,21,728,55.98404255319149,49.46808510638298,54.52127659574468,0.0,70.34574468085107,9.175531914893616,12.23404255319149,56.11702127659575,72.20744680851064,0.0,0.0,0.0,76.06382978723404
Hans Hateboer,Atalanta,NED,DF,24,2973,30.71808510638298,3.324468085106383,1.5957446808510638,48.005319148936174,16.22340425531915,6.914893617021277,51.329787234042556,63.03191489361703,65.29255319148936,89.62765957446808,0.0,37.63297872340425,68.88297872340425
