Player,Club,Nation,Pos,Age,Minutes,Goals without penalties,Assists,Expected goals,Expected assists,Progressive runs,Shot creating actions,Crosses into penalty area,Successful Take-ons,Goals per shots on target,Shots on target %,Shots,Aerial duels won
Iñigo Córdoba,Athletic Club,ESP,FW,21,1321,0.0,88.86509635974305,4.496788008565311,60.17130620985011,62.526766595289075,33.190578158458244,82.22698072805139,50.107066381156315,0.0,16.488222698072803,8.565310492505352,93.57601713062098
Aritz Aduriz,Athletic Club,ESP,FW,37,943,0.0,0.0,50.74946466809421,17.987152034261243,17.77301927194861,13.062098501070663,26.33832976445396,2.9978586723768736,40.471092077087796,99.14346895074947,19.700214132762312,79.44325481798715
Ibai Gómez,Athletic Club,ESP,FW,28,580,0.0,94.21841541755889,2.141327623126338,83.08351177730194,79.01498929336188,82.44111349036403,89.07922912205566,14.775160599571734,0.0,42.82655246252677,9.635974304068522,97.4304068522484
Mikel Oyarzabal,Real Sociedad,ESP,FW,21,3153,54.603854389721626,28.90792291220557,50.96359743040685,56.9593147751606,27.62312633832976,53.53319057815846,72.59100642398288,44.75374732334047,68.95074946466809,53.319057815845824,20.12847965738758,51.17773019271949
Willian José,Real Sociedad,BRA,FW,26,2367,45.182012847965744,71.30620985010707,78.80085653104925,55.6745182012848,49.25053533190578,36.83083511777302,44.96788008565311,85.65310492505354,47.96573875802998,53.104925053533194,15.417558886509635,79.44325481798715
Juanmi,Real Sociedad,ESP,FW,25,1523,56.102783725910065,49.25053533190578,67.02355460385438,28.4796573875803,12.419700214132762,13.704496788008566,26.33832976445396,99.57173447537473,35.76017130620985,89.07922912205566,52.890792291220556,58.2441113490364
Adnan Januzaj,Real Sociedad,BEL,FW,23,1254,11.991434689507495,77.51605995717344,18.201284796573873,82.44111349036403,96.1456102783726,95.93147751605996,92.71948608137045,80.94218415417559,24.839400428265524,7.28051391862955,43.897216274089935,7.922912205567452
Sandro Ramírez,Real Sociedad,ESP,FW,23,1055,0.0,0.0,28.051391862955033,36.83083511777302,57.17344753747323,81.79871520342613,56.102783725910065,14.775160599571734,0.0,16.274089935760173,89.29336188436831,71.09207708779444
Ander Barrenetxea,Real Sociedad,ESP,FW,16,399,44.11134903640257,0.0,7.708779443254818,18.843683083511777,41.32762312633833,69.80728051391864,0.0,75.80299785867237,98.7152034261242,4.282655246252676,3.640256959314775,12.419700214132762
Jon Bautista,Real Sociedad,ESP,FW,23,597,26.552462526766597,0.0,70.66381156316916,54.17558886509636,3.2119914346895073,2.355460385438972,0.0,82.01284796573876,10.920770877944326,16.488222698072803,80.94218415417559,79.44325481798715
Loren Morón,Real Betis,ESP,FW,24,1957,52.24839400428265,0.0,71.09207708779444,12.205567451820128,15.631691648822269,14.989293361884368,0.0,14.775160599571734,24.839400428265524,78.15845824411134,65.95289079229121,36.402569593147746
Joaquín,Real Betis,ESP,FW,37,1696,60.599571734475376,0.0,17.77301927194861,72.37687366167023,76.23126338329764,89.93576017130621,96.1456102783726,95.50321199143468,62.95503211991434,83.08351177730194,8.565310492505352,65.52462526766595
Jesé,Real Betis,ESP,FW,25,779,45.610278372591004,0.0,65.0963597430407,24.411134903640257,34.04710920770878,42.398286937901496,26.33832976445396,72.37687366167023,14.989293361884368,86.93790149892934,46.895074946466806,7.494646680942184
