Minute,Player,Squad,xG,PSxG,Outcome,Distance,Body Part,Notes
32,Jordan Henderson,Liverpool,0.03,,Off Target,25.0,Left Foot,
34,Mohamed Salah,Liverpool,0.15,0.15,Goal,6.0,Right Foot,
41,Trent Alexander-Arnold,Liverpool,0.03,,Off Target,22.0,Right Foot,
,,,,,,,,
48,Georginio Wijnaldum,Liverpool,0.08,,Off Target,14.0,Right Foot,Volley
50,Mohamed Salah,Liverpool,0.09,,Off Target,11.0,Left Foot,
56,Mohamed Salah,Liverpool,0.04,,Blocked,25.0,Left Foot,
57,Roberto Firmino,Liverpool,0.03,0.02,Saved,18.0,Head,
58,Virgil van Dijk,Liverpool,0.02,,Off Target,39.0,Right Foot,
61,Jordan Henderson,Liverpool,0.03,0.37,Saved,30.0,Right Foot,Volley
62,James Milner,Liverpool,0.05,,Off Target,17.0,Right Foot,
69,Trent Alexander-Arnold,Liverpool,0.03,,Blocked,29.0,Right Foot,
74,Mohamed Salah,Liverpool,0.08,0.34,Saved,16.0,Right Foot,
77,Sadio Mané,Liverpool,0.57,0.55,Saved,10.0,Left Foot,
78,Virgil van Dijk,Liverpool,0.37,,Off Target,8.0,Right Foot,Volley
82,Georginio Wijnaldum,Liverpool,0.07,,Off Target,10.0,Head,
83,Georginio Wijnaldum,Liverpool,0.07,,Blocked,15.0,Left Foot,
85,Georginio Wijnaldum,Liverpool,0.06,,Off Target,16.0,Right Foot,
87,Sadio Mané,Liverpool,0.5,,Off Target,9.0,Left Foot,
90,Sadio Mané,Liverpool,0.65,,Off Target,13.0,Right Foot,
2,Roberto Firmino,Liverpool,0.04,,Blocked,17.0,Right Foot,
6,Roberto Firmino,Liverpool,0.1,,Off Target,8.0,Head,
7,Roberto Firmino,Liverpool,0.03,0.21,Saved,28.0,Left Foot,
9,Fabinho,Liverpool,0.03,0.29,Saved,25.0,Right Foot,
10,Roberto Firmino,Liverpool,0.17,,Blocked,8.0,Left Foot,"Deflected, Volley"
10,Andrew Robertson,Liverpool,0.02,,Off Target,20.0,Left Foot,
10,Virgil van Dijk,Liverpool,0.06,,Blocked,13.0,Right Foot,
11,Mohamed Salah,Liverpool,0.03,,Blocked,23.0,Left Foot,
12,Fabinho,Liverpool,0.03,,Off Target,30.0,Right Foot,
14,Roberto Firmino,Liverpool,0.03,,Off Target,28.0,Left Foot,
24,Sadio Mané,Liverpool,0.5,0.82,Goal,9.0,Left Foot,Volley
27,Roberto Firmino,Liverpool,0.05,,Blocked,14.0,Left Foot,
27,Dejan Lovren,Liverpool,0.35,,Off Target,7.0,Right Foot,
37,Sadio Mané,Liverpool,0.04,0.14,Saved,22.0,Left Foot,
45,Fabinho,Liverpool,0.03,,Blocked,30.0,Right Foot,
,,,,,,,,
48,Mohamed Salah,Liverpool,0.05,,Blocked,21.0,Left Foot,
51,Fabinho,Liverpool,0.09,,Blocked,8.0,Head,
